word1,word2,lift_value
dark,chocolate,1.4601862974851807
dark,sweet,0.6863684830798586
dark,vanilla,1.1518934339483733
dark,aroma,0.9962004723169772
dark,bourbon,1.3170299466703133
dark,black,0.9724003175184709
dark,coffee,1.339638326250814
dark,light,0.533025800568578
dark,body,0.3978817299205648
dark,fruit,1.0036001796634764
dark,carbonation,0.1810087615439261
dark,finish,0.36121659936420647
dark,smooth,0.3339611650485436
dark,malt,1.0645392328505492
dark,mouthfeel,0.1484271844660194
dark,caramel,1.1975375110326567
dark,thick,0.5930309881633196
dark,roasted,1.4842718446601941
dark,balanced,0.298846680132925
dark,thin,0.8884725830712429
dark,funk,0.06509964230965763
dark,deep,1.0741440981093509
dark,bodied,0.3281553398058252
dark,vintage,0.4840016884761502
dark,boozy,0.8986802184466018
chocolate,sweet,0.9709341181160526
chocolate,vanilla,2.020803091623968
chocolate,aroma,1.0057343347404197
chocolate,bourbon,2.172893751964118
chocolate,black,0.7720030107033056
chocolate,coffee,2.2910847714650475
chocolate,light,0.7495545369986442
chocolate,body,0.3794947446063065
chocolate,fruit,0.4828091501663864
chocolate,carbonation,0.18908623163310742
chocolate,finish,0.4688111436213179
chocolate,smooth,0.7235699797160244
chocolate,malt,1.3503391746749578
chocolate,mouthfeel,0.38762677484787017
chocolate,caramel,1.2862161165406603
chocolate,thick,0.6371946983800606
chocolate,roasted,2.4397685240424773
chocolate,balanced,0.6243652749227439
chocolate,thin,0.3275719224066509
chocolate,funk,0.0
chocolate,deep,0.48453346855983775
chocolate,bodied,0.5010141987829615
chocolate,vintage,0.1404444836405327
chocolate,boozy,0.9993502789046653
sweet,vanilla,1.090663781059091
sweet,aroma,0.7297818049263135
sweet,bourbon,0.9542294227794513
sweet,black,0.2624544055452551
sweet,coffee,0.7528855565199727
sweet,light,0.7323475872640756
sweet,body,0.4033981432825363
sweet,fruit,0.628967560117664
sweet,carbonation,0.3692059463947241
sweet,finish,0.7060037171551827
sweet,smooth,0.6014065510597302
sweet,malt,0.6488913105278119
sweet,mouthfeel,0.3927552986512524
sweet,caramel,1.2217813977929584
sweet,thick,0.5380209570565102
sweet,roasted,0.6930975858551514
sweet,balanced,0.5436629553477906
sweet,thin,0.25930147358137257
sweet,funk,0.4521853767366392
sweet,deep,0.5813811986613934
sweet,bodied,0.32562620423892097
sweet,vintage,0.13340872916143084
sweet,boozy,1.0355852601156068
vanilla,aroma,0.8975278596131675
vanilla,bourbon,2.2450837727788535
vanilla,black,0.46518525142329126
vanilla,coffee,1.6348666777705434
vanilla,light,0.9006834070854388
vanilla,body,0.39056441189142604
vanilla,fruit,0.5156937815182743
vanilla,carbonation,0.1840827649982661
vanilla,finish,0.44082120538522834
vanilla,smooth,0.5736018957345971
vanilla,malt,1.1692273327635772
vanilla,mouthfeel,0.3169905213270142
vanilla,caramel,1.7702068074105988
vanilla,thick,0.4755891709407258
vanilla,roasted,1.864650125453025
vanilla,balanced,0.6078437609338719
vanilla,thin,0.22323276149789734
vanilla,funk,0.23833873783986032
vanilla,deep,0.3277157645298079
vanilla,bodied,0.6469194312796208
vanilla,vintage,0.09844426128168143
vanilla,boozy,0.9552169727488151
